video_name,video_duration_min,n_frames,feature_extraction_time_with_cut,feature_extraction_time,shot_boundaries_cut_time,shot_boundaries_time,all_preprocessing_with_cut,all_preprocessing,writing_summary_video_with_cut,writing_summary_video
documentary_global_warming_16_min[uynhvHZUOOo].mp4,16,24577,68.46094989776611,66.62940406799316,2.7139222621917725,16.774420976638794,130.82807278633118,142.20066809654236,44.88122892379761,43.83534002304077
documentary_speech_drawing_22_min[EvknN89JoWo].mp4,22,32474,90.49396276473999,87.4144811630249,3.2663607597351074,34.99686908721924,174.41681218147278,197.54892802238464,59.564552783966064,58.717488050460815
documentary_energy_23_min[pafA-RU3q7U].mp4,23,33745,80.1893470287323,81.27160692214966,2.963840961456299,32.22606801986694,175.0614790916443,208.444078207016,53.28330206871033,53.53034710884094
educational_economics_26_min[QSkKG5bthSA].mp4,26,46620,129.91773104667664,128.59811401367188,4.399149656295776,79.14248394966125,486.59841203689575,896.3144500255585,80.55220413208008,75.04537391662598
documentary_web_40_min[cL3pEe47qyk].mp4,40,60624,145.4949848651886,151.3320209980011,4.848343849182129,171.1682288646698,285.1119291782379,446.78567600250244,102.19202613830566,101.86841106414795
documentary_travel_42_min[TcqAu8VyjZA].mp4,42,63627,173.27628469467163,173.2468249797821,5.780577898025513,217.64834880828857,224.0481390953064,434.8370509147644,107.2655680179596,107.16713666915894
documentary_rich_people_42_min[NXaVLXSZdEw].mp4,42,63641,173.4808611869812,152.71364784240723,5.9964940547943115,210.72797799110413,364.7145857810974,789.1174049377441,92.59726691246033,81.34730005264282
documentary_companies_42_min[Dy8ogOaKk4Y].mp4,42,63648,153.07526516914368,160.2079041004181,4.7545599937438965,172.8256959915161,157.92914009094238,333.1826810836792,91.81853604316711,94.862713098526
documentary_crime_51_min[gWe1TJQ-6HI].mp4,51,73321,197.6084280014038,199.75165486335754,6.936481952667236,338.7653319835663,311.9241898059845,645.8010449409485,124.29967308044434,124.6202142238617
documentary_supply_chain_55_min[1KtTAb9Tl6E].mp4,55,78712,191.54589200019836,202.27883791923523,6.264263153076172,375.06868624687195,405.01163816452026,869.8127040863037,134.6743049621582,124.18428087234497
documentary_ocean_53_min[uW9mcG0rdLY].mp4,53,78825,214.79367208480835,195.41896200180054,6.950012922286987,387.92876386642456,459.459529876709,919.1121270656586,178.05028700828552,154.26028275489807
documentary_history_68_min[USVPTJ1SkCU].mp4,68,98958,271.26490902900696,241.5761661529541,8.96790075302124,746.1236717700958,458.41413593292236,1142.0767769813538,178.6410789489746,163.51591300964355
documentary_politics_86_min[-DKIQpu4hhQ].mp4,86,128895,339.67157196998596,318.4067528247833,10.902460813522339,2265.3999359607697,656.7941529750824,3091.7300946712494,237.60429167747498,335.6464509963989
documentary_ecology_86_min[FDxM2UW5DSI].mp4,86,128899,318.18107509613037,319.8525958061218,9.657969951629639,2104.9716551303864,381.25932025909424,2478.504452943802,207.08811807632446,292.34340715408325
action_movie_108_min[LMW7L2uM9qQ].mp4,108,155796,418.88472604751587,374.29302883148193,11.413604021072388,4300.582233905792,609.0986080169678,4838.551536083221,185.108393907547,425.54956126213074
fun_facts_archaeology_100_min[DbZubaN8Pyg].mp4,100,179771,444.68084502220154,451.77686190605164,14.18487286567688,6487.194751024246,561.2145802974701,7041.02489900589,306.0733451843262,507.77305912971497
documentary_many_speeches_bezos_93_min[RVVfJVj5z8s].mp4,93,203682,550.6264560222626,484.9711420536041,16.785431146621704,10303.048305273056,660.1676712036133,10869.734439849854,352.1343421936035,688.4359211921692
